country,partyfacts_id,name_short,ches_short,ches_id,ches_left_right,ches_eu_integration,ches_gal_tan,ches_economy,ches_redistribute
ALB,2297,LSI,,,,,,,
ALB,1636,PBDN,,,,,,,
ALB,3270,PDIU,,,,,,,
ALB,190,PDS,,,,,,,
ALB,4715,PKDSH,,,,,,,
ALB,819,PRS,,,,,,,
ALB,1729,PSS,,,,,,,
AUT,599,BZO,BZÖ,1307,7.8,2.7,7.2,7.2,6.3
AUT,463,FPO,FPÖ,1303,9.1,2.3,8.9,6.5,5.6
AUT,1659,GRUENE,Grüne,1304,2.5,6.5,1.4,2.5,2.5
AUT,605,LIF,LIF; NEOS,1306,5.9,6.7,2.3,7.1,6.9
AUT,1708,MARTIN,MARTIN,1308,4.78,3.83,5,3.71,4.2
AUT,1329,OVP,ÖVP,1302,6.9,5,7.1,6.9,6.2
AUT,1384,SPO,SPÖ,1301,4,6.1,3.8,3.6,2.4
AUT,1971,TS,TeamStronach,1310,7.6,2.9,7.2,7.9,8.14
BEL,528,AGL — Gr,AGALEV; Groen,105,2.42,6.58,1.17,2.67,2.25
BEL,604,CD&V,CVP; CD&V,109,5.58,6.58,6.25,5.58,5
BEL,1563,Ecolo,ECOLO,104,2.08,6.58,1.08,2.5,1.92
BEL,1834,etc,ID21,114,5.14,4.62,4,5.14,
BEL,698,FDF,FDF,111,5.6,6.4,4,5.6,5
BEL,191,FN,FN,115,9.21,2.62,9.67,8.45,6.6
BEL,43,LD/LDD,LDD,117,8.43,3.5,5.07,8.87,8.4
BEL,791,MCC,MCC,113,5.57,6.43,5.8,5.8,
BEL,789,MR,PRL; MR,106,6.5,6.5,3.18,6.92,5.83
BEL,36,N-VA,VU; NVA,110,7.92,4.25,6.09,7.92,7
BEL,639,Pp,PP,120,7.75,2.5,7.5,8.5,6.5
BEL,500,PS,PS,102,2.08,6.08,2.92,2.25,1.58
BEL,633,PSC — CDH,PSC; CDH,108,4.58,6.42,5,4.67,3.92
BEL,1753,PVDA — PTB,PVDA,119,0.33,2.73,4.58,0.33,0.33
BEL,49,PVV — OVLD,VLD,107,6.58,6.83,2.45,7.17,6
BEL,1680,SPA,SP; SPA,103,3.08,6,2.75,3.08,2
BEL,7015,SPIRIT,SLP; Spirit,118,2.77,5.25,1.91,2.38,2.43
BEL,553,VB,VB,112,9.58,2.25,8,5,4.42
BGR,2635,1-perc,Slavi,2019,5.67,4.38,6.44,4.33,3.5
BGR,3187,ABV,ABV,2016,3.47,5.65,5.38,3.38,3.13
BGR,3908,ally,G-VMRO; VMRO-BND,2005,6.9,3.84,9.5,4.81,4.81
BGR,1793,ATA,NOA; Ataka,2007,6.81,2.2,9.62,3.53,3.19
BGR,3188,BBZ,BBT,2015,6.08,4.53,7.45,3.9,3
BGR,2058,BNG,DBG,2013,6.13,6.75,3.59,6.53,6.6
BGR,263,BNS,BNS,2009,6.14,6,6.14,5.62,5.5
BGR,5861,DB,DB,2018,6.05,6.81,2.8,6.78,5.55
BGR,982,DPS,DPS,2004,4.71,6.25,6.14,4.95,4.6
BGR,1195,DSB,DSB,2008,7.45,6.82,4.68,7.95,6.6
BGR,760,GERB,GERB,2010,6.1,6.55,5.76,6.1,5.9
BGR,5848,KSII,KSII,2006,6.86,5.67,6.33,6.29,
BGR,1665,KzB,KzB; BSP,2003,3.25,5.1,7.14,3,3
BGR,265,LR,L,2011,6,4,8.2,4.43,4.5
BGR,374,NDSV,NDSV,2001,5.82,6.55,4.2,6.18,6.89
BGR,2057,NFSB,NFSB,2014,7.35,3.95,8.9,5.47,5.4
BGR,1183,ODS,ODS; SDS,2002,7.13,6.65,3.5,7.69,7.65
BGR,272,RZS,RZS,2012,6.5,4.22,8,4.17,4.17
BGR,5863,Volya,Volya,2017,5.56,3.5,8.53,5.38,5.18
BIH,3683,BPS,,,,,,,
BIH,4717,DF,,,,,,,
BIH,3170,DNS,,,,,,,
BIH,1760,HDZ-BiH,,,,,,,
BIH,3168,HDZ90,,,,,,,
BIH,4716,NDP,,,,,,,
BIH,1673,PDP,,,,,,,
BIH,3171,SBBBIH,,,,,,,
BIH,1454,SDA,,,,,,,
BIH,537,SDP-BiH,,,,,,,
BIH,1166,SDS,,,,,,,
BIH,292,SNSD,,,,,,,
CHE,1415,BDP,,,,,,,
CHE,1122,CsP,,,,,,,
CHE,631,EDU,,,,,,,
CHE,1123,EVP,,,,,,,
CHE,1231,FDP,,,,,,,
CHE,1759,GPL,,,,,,,
CHE,1006,Grue,,,,,,,
CHE,1808,KK/CVP,,,,,,,
CHE,1661,LdT,,,,,,,
CHE,29,SP,,,,,,,
CHE,308,SVP,,,,,,,
CYP,1076,AKEL,AKEL,4003,3,5,2.5,2.5,1
CYP,635,DIKO,DIKO,4004,5.5,6,6,6,4.5
CYP,563,DISY,DISY,4001,7.5,6,6.5,8,8
CYP,1028,EDEK,EDEK,4005,4.5,5.5,6,4.5,4
CYP,1817,EK,Evroko,4002,8.67,6,7.25,8.5,7.5
CYP,1013,ELAM,ELAM,4009,10,3.5,10,7.5,6
CYP,4883,KINHMA,Kinhma,4008,7,5,7.5,7,5.5
CYP,858,KOP,KOP,4006,4.5,5,3,4,2
CYP,3117,SYM,SYM,4007,4.5,5,3.5,4.5,5
CZE,2141,ANO,ANO2011,2111,4.69,4.48,5.73,4.5,3.85
CZE,177,CSSD,CSSD,2101,2.74,5.74,4.92,2.59,2.44
CZE,676,KDU/CSL,KDU-CSL,2104,5.89,6.22,7.78,5.54,4.46
CZE,1728,KSCM,KSCM,2103,1.15,2.37,8.07,1.04,1.38
CZE,1425,NEZDEM,Nezavisli,2108,5.5,4,4.75,4.5,
CZE,466,ODS,ODS,2102,7.78,3.78,7.04,7.7,7.88
CZE,2047,Pi,Pirates,2114,4.28,6.12,1,4.35,4.22
CZE,1707,SN — VA,STAN,2116,6.27,6.52,4.08,6.58,6.21
CZE,751,SNK-ED,SNK-ED,2106,6.67,6.5,2.8,7.2,7
CZE,6125,SPD,SPD,2115,8.85,1.48,9.37,4.67,4.14
CZE,254,SSO,SVOBODNI,2113,8.71,1.33,4.86,9.23,9
CZE,1554,SZ,SZ,2107,3.86,6.57,1.29,3.71,4.09
CZE,223,TOP09,TOP09,2109,7.41,6.67,4.85,7.33,7.42
CZE,2049,UPD,USVIT,2112,7.69,2.27,7.71,5.33,4
CZE,104,US/DEU,US-DEU,2105,6.78,6.83,2.58,7.53,
CZE,1202,VV,VV,2110,5.89,4.92,4.31,5.89,5.58
DEU,2702,1-perc,,,,,,,
DEU,1976,AfD,AfD,310,9.24,1.9,9.52,7,6
DEU,1816,B90/Gr,Grunen,304,3.24,6.76,1.1,3.81,3.42
DEU,1375,CDU,CDU,301,5.86,6.29,5.86,5.9,5.95
DEU,1731,CSU,CSU,308,7.19,5.68,7.29,6.38,6.32
DEU,695,DVU,DVU; NPD,309,10,1.67,9.82,5.33,5.6
DEU,573,FDP,FDP,303,6.43,5.76,3.43,7.9,8.58
DEU,1545,Linke,PDS;,306,1.43,4.71,2.81,1.29,0.89
DEU,1287,Pirat,Piraten,311,2.14,6.5,1.33,2.4,2.5
DEU,720,Rep,REP,305,9.21,1.75,9.42,7.22,
DEU,383,SPD,SPD,302,3.62,6.52,3.38,3.71,3.05
DEU,749,Tier,DieTier,312,2.33,5,1.5,3,
DNK,4070,A,A,219,2.5,5.38,0.93,3.21,2.85
DNK,800,CD,CD,204,5.57,7,6.2,5.29,
DNK,1022,DF,DF,215,6.93,2,8,4.43,4.36
DNK,1527,Enh,EL,213,1,2.43,1.07,1,0.64
DNK,333,Fobe,FolkB,217,2,1.09,2.75,1.33,2
DNK,1601,FrP,FP,212,9.29,1.43,7.6,8.86,
DNK,1421,JuBe,JuniB,216,3.17,1.22,4.75,2.83,3.5
DNK,536,KF,KF,203,7.07,5.71,6.07,7.57,7.21
DNK,53,KrF/KD,KRF,210,5.43,4.71,5.4,5.71,
DNK,212,LA,LA,218,8,4.07,3.86,8.71,9.07
DNK,7339,NB,NB,220,9,1.79,8.31,8.57,8.79
